,BTC-USD_open,BTC-USD_high,BTC-USD_low,btc_close,BTC-USD_volume,us10y,nasdaq,dxy,gold,m2_supply,fear_greed_index,btc_log_return
BTC-USD_open,1.0,0.9984758456059102,0.997986489300068,0.9969045315191277,0.5754404809870346,0.2846241962172894,0.8876490915518016,-0.38871992768746494,0.8784528929635316,0.9265196325543247,-0.03873335735848967,-0.07209222847650106
BTC-USD_high,0.9984758456059102,1.0,0.9974651391945355,0.998714443443033,0.5931824929909756,0.28665134748869153,0.8867008154298069,-0.3820530635617748,0.876382953836591,0.9247932674337036,-0.04185445891146122,-0.030680482937033463
BTC-USD_low,0.997986489300068,0.9974651391945355,1.0,0.9983899343286357,0.5501203990582499,0.28323592123482627,0.8890846832347158,-0.3992476389298436,0.8801060678503757,0.9282126229560993,-0.03688877449367301,-0.030084606415481684
btc_close,0.9969045315191277,0.998714443443033,0.9983899343286357,1.0,0.5746968801244329,0.2864056689681916,0.8873834582999723,-0.3907228200620916,0.8780593310922964,0.9262468867923997,-0.04094271525916713,0.003406622473254408
BTC-USD_volume,0.5754404809870346,0.5931824929909756,0.5501203990582499,0.5746968801244329,1.0,0.12449010096629703,0.5311869356051669,-0.1446311434459567,0.4472487911481486,0.4815107371769559,0.08481808471029115,-0.015687694627893652
us10y,0.2846241962172894,0.28665134748869153,0.28323592123482627,0.2864056689681916,0.12449010096629703,1.0,0.0426735838397691,0.4016799445159389,0.013388886451690424,0.06845148566861445,0.39610254270584894,0.010680628811017787
nasdaq,0.8876490915518016,0.8867008154298069,0.8890846832347158,0.8873834582999723,0.5311869356051669,0.0426735838397691,1.0,-0.3981322631947339,0.8660802814758488,0.8821853633749598,-0.1952866153530905,-0.029364793715313003
dxy,-0.38871992768746494,-0.3820530635617748,-0.3992476389298436,-0.3907228200620916,-0.1446311434459567,0.4016799445159389,-0.3981322631947339,1.0,-0.6273731909331023,-0.590105616652717,0.237783070164359,-0.011733328670276578
gold,0.8784528929635316,0.876382953836591,0.8801060678503757,0.8780593310922964,0.4472487911481486,0.013388886451690424,0.8660802814758488,-0.6273731909331023,1.0,0.9721612274660231,-0.3482104368356795,-0.035313858099324615
m2_supply,0.9265196325543247,0.9247932674337036,0.9282126229560993,0.9262468867923997,0.4815107371769559,0.06845148566861445,0.8821853633749598,-0.590105616652717,0.9721612274660231,1.0,-0.30939574237282336,-0.035100269434832534
fear_greed_index,-0.03873335735848967,-0.04185445891146122,-0.03688877449367301,-0.04094271525916713,0.08481808471029115,0.39610254270584894,-0.1952866153530905,0.237783070164359,-0.3482104368356795,-0.30939574237282336,1.0,-0.02587802750378247
btc_log_return,-0.07209222847650106,-0.030680482937033463,-0.030084606415481684,0.003406622473254408,-0.015687694627893652,0.010680628811017787,-0.029364793715313003,-0.011733328670276578,-0.035313858099324615,-0.035100269434832534,-0.02587802750378247,1.0
